m/z,area,Messung,sccm,Temperatur,Datei
159.3121,0.9894459081194906,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
159.5268,0.9088862606836996,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
159.7258,0.9556873931621406,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
159.9408,0.9679136858970605,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
160.1519,0.7972717200863024,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
160.3752,0.998666666666973,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
160.6505,0.8600000000002364,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
160.8821,1.040000000000338,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
161.1339,1.0223240918801308,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
161.4858,1.0120000000001093,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
161.7901,1.0693333333332617,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
162.0867,0.961333333333338,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
162.4397,1.0706666666665825,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
162.8453,1.1041384857726577,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
163.163,1.0018886788619823,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
163.4326,1.061745538618447,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
163.6541,0.9298535365854925,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
163.8919,1.220164278455762,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
164.1016,1.1281041463418902,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
164.4204,0.9604309146343812,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
164.7315,1.1856361077226727,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
164.9579,1.0042913414638934,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
165.2533,1.0692123475613986,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
165.5247,1.0811376219512925,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
165.8733,1.0408090447158427,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
166.1817,1.029664329268374,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
166.3928,0.9978236890249406,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
166.6041,1.092748943089047,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
166.8278,1.0605050711387973,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
167.2022,1.1669724593501292,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
167.4181,1.0235553048775141,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
167.626,1.1837920426836708,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
167.834,0.9772195528462644,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
168.038,1.084278109755542,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
168.2585,1.1735187195129946,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
168.5895,0.9898961280487323,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
168.8923,1.1839140142284426,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
169.1051,1.1343333333328378,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
169.3468,1.1343333333340742,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
169.5764,1.2272666666662577,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
169.8718,1.0769333333326518,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
170.1017,1.1466333333328957,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
170.3194,1.0118120305843399,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
170.5373,1.1505708865661985,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
170.7965,1.10007307394488,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
171.0518,1.2861144212156665,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
171.3443,1.1752446283389573,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
171.6165,1.2479243031368619,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
172.0251,1.2213787069301087,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
172.4012,1.1760568815333803,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
172.6369,1.1943933313976203,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
172.848,1.297580933023497,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
173.1628,1.2574901761516823,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
173.5069,1.1993347367402296,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
173.9136,1.2298925861402412,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
174.1255,1.3271723093308,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
174.5246,1.3435315718157446,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
174.7577,1.2202795392942645,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
174.9742,1.2168573654668604,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
175.2201,1.3269144308930731,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
175.4285,1.3007779132796566,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
175.6622,1.424214459930721,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
175.9962,1.3309779132798003,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
